,CustomerID,Age,DurationOfPitch,NumberOfFollowups,NumberOfTrips,NumberOfChildrenVisiting,MonthlyIncome,TypeofContact_Self Enquiry,TypeofContact_Company Invited,Occupation_Salaried,Occupation_Free Lancer,Occupation_Small Business,Occupation_Large Business,Gender_Female,Gender_Male,Gender_Fe Male,ProductPitched_Deluxe,ProductPitched_Basic,ProductPitched_Standard,ProductPitched_Super Deluxe,ProductPitched_King,MaritalStatus_Single,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Unmarried,Designation_Manager,Designation_Executive,Designation_Senior Manager,Designation_AVP,Designation_VP
0,200000,0.3582902185214837,-1.1494690239306324,-0.707329709080205,-1.2563149382143857,-1.386914952040935,-0.4919071342831679,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,200001,1.2174647475704825,-0.1730795015685414,0.2912413703764851,-0.6931432565212594,0.9416322093519492,-0.6593791254901845,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,200002,-0.0712970460030158,-0.9053716433401098,0.2912413703764851,2.1227151519443725,-1.386914952040935,-1.2493152242958976,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,200003,-0.5008843105275153,-0.7833229530448483,-0.707329709080205,-0.6931432565212594,-0.2226413713444928,-1.0903817818873849,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,200004,-0.6082811266586401,-0.9053716433401098,-0.707329709080205,-1.2563149382143857,-1.386914952040935,-0.9819034005609396,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,200005,-0.6082811266586401,-0.9053716433401098,-0.707329709080205,-1.2563149382143857,-0.2226413713444928,-1.059526571456428,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,200006,2.291432908881731,-0.7833229530448483,-1.7059007885368949,0.9963717885581198,-0.2226413713444928,-1.1367616264974392,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,200007,-0.8230747589208899,1.7796995431556408,-0.707329709080205,-0.6931432565212594,-0.2226413713444928,-1.1322982941709483,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
8,200008,0.036099770128109,1.6576508528603793,0.2912413703764851,-1.2563149382143857,-1.386914952040935,0.1936995226512348,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
9,200009,-0.1786938621341406,2.1458456140414253,-0.707329709080205,2.1227151519443725,-1.386914952040935,-0.6386149272756413,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
