CustomerID,Age,DurationOfPitch,NumberOfFollowups,NumberOfTrips,NumberOfChildrenVisiting,MonthlyIncome,CustoomerID
200000,0.5348837209302326,0.03225806451612903,0.4000000000000001,0.0,0.0,0.4798670549133799,200000
200001,0.7209302325581396,0.29032258064516125,0.6000000000000001,0.14285714285714285,0.6666666666666666,0.4544839554104533,200001
200002,0.4418604651162791,0.0967741935483871,0.6000000000000001,0.8571428571428572,0.0,0.3650695608694373,200002
200003,0.34883720930232565,0.1290322580645161,0.4000000000000001,0.14285714285714285,0.3333333333333333,0.3891585046619018,200003
200004,0.32558139534883723,0.0967741935483871,0.4000000000000001,0.0,0.0,0.4056001647107268,200004
200005,0.32558139534883723,0.0967741935483871,0.4000000000000001,0.0,0.3333333333333333,0.3938351127974352,200005
200006,0.9534883720930233,0.1290322580645161,0.2,0.5714285714285714,0.3333333333333333,0.3821288861437101,200006
200007,0.2790697674418605,0.8064516129032259,0.4000000000000001,0.14285714285714285,0.3333333333333333,0.3828053766287244,200007
200008,0.4651162790697675,0.7741935483870968,0.6000000000000001,0.0,0.0,0.5837818759375276,200008
200009,0.41860465116279066,0.9032258064516129,0.4000000000000001,0.8571428571428572,0.0,0.4576311067972587,200009
200010,0.39534883720930236,0.5483870967741936,0.2,0.0,0.3333333333333333,0.37495220447660227,200010
200011,0.3023255813953488,0.5161290322580645,0.6000000000000001,0.0,0.0,0.3892173299214683,200011
200012,0.3023255813953488,0.8709677419354839,0.4000000000000001,0.14285714285714285,0.3333333333333333,0.3892173299214683,200012
200013,0.37209302325581395,0.6451612903225806,0.4000000000000001,0.0,0.6666666666666666,0.38186417247566107,200013
200014,0.2325581395348838,0.8064516129032259,0.6000000000000001,0.7142857142857142,0.0,0.36324597782287715,200014
200015,0.2558139534883721,0.7096774193548387,0.2,0.14285714285714285,0.3333333333333333,0.5971352098591135,200015
200016,0.32558139534883723,0.19354838709677422,0.2,0.0,0.0,0.4006000176475779,200016
200017,0.09302325581395354,0.5483870967741936,0.2,0.14285714285714285,0.0,0.38992323303626575,200017
200018,0.813953488372093,0.0967741935483871,0.6000000000000001,0.2857142857142857,0.0,0.7573458042883615,200018
200019,0.37209302325581395,0.0967741935483871,0.4000000000000001,0.7142857142857142,0.3333333333333333,0.4038059942939498,200019
200020,0.37209302325581395,0.3870967741935484,0.2,0.0,0.6666666666666666,0.4038059942939498,200020
200021,0.37209302325581395,0.32258064516129037,0.6000000000000001,0.0,0.0,0.4038059942939498,200021
200022,0.37209302325581395,0.25806451612903225,0.4000000000000001,0.0,0.0,0.6563722462425365,200022
200023,0.06976744186046513,0.5161290322580645,0.4000000000000001,0.14285714285714285,0.3333333333333333,0.3398335245154269,200023
200024,0.37209302325581395,0.22580645161290322,0.4000000000000001,0.2857142857142857,0.3333333333333333,0.3906585487808465,200024
200025,0.813953488372093,0.19354838709677422,0.4000000000000001,0.5714285714285714,0.3333333333333333,0.8652019177034619,200025
200026,0.5581395348837209,0.5483870967741936,0.8,0.14285714285714285,0.6666666666666666,0.5043383628930262,200026
200027,0.5581395348837209,0.29032258064516125,0.4000000000000001,0.0,0.3333333333333333,0.5043383628930262,200027
200028,0.6046511627906977,0.25806451612903225,0.6000000000000001,0.42857142857142855,0.0,0.6050177946410189,200028
